id,name,nick_name,wins,losses,draws
3e708ce33b6b18e6,Victor Martinez,The Brick,13,6,0
cc98d857b148e33a,Leonardo Guimaraes,Leleco,11,5,0
b2f88c04c4dd43ce,Jason Miller,Mayhem,23,10,0
d661ce4da776fc20,Petr Yan,No Mercy,20,5,0
7be74a12d7352df2,Sara McMann,,13,6,0
d5b7fac960e58920,Chris Indich,,6,4,0
fa6796c55d6c5440,Curtis Blaydes,Razor,19,5,0
b07aed698fba8624,Ikram Aliskerov,,17,2,0
862b0b3375aa4b6e,Zarah Fairn,Infinite,6,6,0
81b8b3fb019dc69d,Antonio Dos Santos,Junior Alpha,6,4,0
fa315e6c77eee106,Brandon Vera,The Truth,15,7,0
f1b2a4365799c48b,Christian Wellisch,The Hungarian Nightmare,8,5,0
f9f07bb5a43535ed,Carlos Condit,The Natural Born Killer,32,14,0
7c6e87729e824ef4,Ildemar Alcantara,Marajo,21,11,0
93ce4ac89e3d7652,Luke Cummo,,6,6,0
d2cd7a69cc55e7ed,Austin Hubbard,Thud,17,10,0
6506c1d34da9c013,Georges St-Pierre,Rush,26,2,0
38c5817ade8a8014,Ivana Petrovic,,7,3,0
6859f67468ba8489,Kevin Randleman,The Monster,17,16,0
d66a46de8d705353,Jeremiah Wells,,13,4,1
b4192a975027aab6,Maryna Moroz,Iron Lady,11,6,0
c487223b0289bda9,Hector Aldana,,4,3,0
f97c5433c77522d3,Nohelin Hernandez,Suave,9,4,0
010986ee359fb863,John Salter,,14,3,0
da97d6c97d09c030,Charles McCarthy,Chainsaw,10,5,0
bc8f6b42767e28df,Naoyuki Kotani,,34,14,7
28f3c2258a1d8874,John Hathaway,The Hitman,17,2,0
d747eb273a40a920,Claudio Puelles,Prince of Peru,13,5,0
37f560436d745c18,Nikolas Motta,Iron,15,6,0
2f181c0467965b98,Brendan Allen,All In,26,7,0
05560764359161e4,Constantinos Philippou,,13,5,0
35e1f9984ed64206,Ryan MacDonald,Main Event,10,2,0
a474aade8eb3a8f0,SuYoung You,Yoo-Jitsu,16,3,0
ec34349e7dffcde7,Claudia Gadelha,Claudinha,18,5,0
d9c6f19f958643e9,Bryce Mitchell,Thug Nasty,18,4,0
6ef65b6a152e49d5,Philip De Fries,,12,6,0
8e1f36476ef02a6a,Jennifer Maia,,21,10,1
8a8a84b743ae7699,Dennis Hallman,Superman,53,20,2
3b0a516d2921e0d6,Batgerel Danaa,Storm,12,5,0
e0b0cf71e0d69dd0,Kanako Murata,,12,3,0
5f61780fe5e9b6d0,Andre Petroski,,13,6,0
7d09200f6a77b20e,Colin Fletcher,The Freakshow,14,8,0
60c72f7459827881,Julio Paulino,The Dominican Demon,23,5,0
35673bf5204524ee,Bo Nickal,,8,1,0
8d20d76af3f213ce,Joseph Holmes,Uglyman Joe,8,4,0
d5f820c11a121050,Aaron Simpson,A-Train,12,5,0
